| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 40 m12 = 100 | 5.39443, 5.72411, 5.06476 | 11.8845, 13.7996, 9.96926 | 225.969, 250.481, 201.457 | 16.4619, 16.7074, 16.2163 | 90.6406, 104.74, 76.5417 | 68.9648, 76.7415, 61.1881 | 21.343, 25.2934, 17.3927 | 9.3, 10.8517, 7.74829 | 102.332, 116.354, 88.3102 | 284.873, 315.79, 253.957 | 
| tanbeta = 10, m0 = 40 m12 = 120 | 2.59229, 2.75435, 2.43023 | 5.83775, 6.83453, 4.84098 | 51.5032, 56.2835, 46.7229 | 3.67594, 3.79248, 3.5594 | 39.2902, 45.3787, 33.2018 | 34.661, 38.4256, 30.8965 | 10.4943, 12.4593, 8.52932 | 3.92, 4.62043, 3.21957 | 39.5411, 45.2297, 33.8526 | 124.177, 136.631, 111.722 | 
| tanbeta = 10, m0 = 40 m12 = 140 | 1.3514, 1.43882, 1.26398 | 3.08306, 3.6345, 2.53161 | 17.2768, 18.6917, 15.8619 | 1.85688, 1.927, 1.78676 | 18.3349, 21.0754, 15.5944 | 18.9246, 20.8108, 17.0385 | 5.15305, 6.12276, 4.18335 | 1.794, 2.13554, 1.45246 | 16.6316, 19.0936, 14.1697 | 58.8568, 64.7021, 53.0116 | 
| tanbeta = 10, m0 = 40 m12 = 160 | 0.75096, 0.801531, 0.700388 | 1.72988, 2.04825, 1.4115 | 7.81602, 8.39953, 7.23251 | 1.10517, 1.15082, 1.05952 | 9.39738, 10.8189, 7.97591 | 11.0858, 12.1668, 10.0048 | 2.61903, 3.1136, 2.12446 | 0.88, 1.05967, 0.700325 | 7.6, 8.80984, 6.39016 | 29.8544, 32.8527, 26.856 | 
| tanbeta = 10, m0 = 40 m12 = 180 | 0.4388, 0.46927, 0.40833 | 1.01854, 1.21269, 0.824383 | 4.10932, 4.39495, 3.82369 | 0.713698, 0.744403, 0.682993 | 5.08044, 5.84283, 4.31805 | 6.79033, 7.45434, 6.12633 | 1.37903, 1.64802, 1.11004 | 0.458, 0.557253, 0.358747 | 3.71, 4.35368, 3.06632 | 15.9427, 17.5588, 14.3267 | 
| tanbeta = 10, m0 = 40 m12 = 200 | 0.266537, 0.285255, 0.247818 | 0.623233, 0.744087, 0.502378 | 2.38267, 2.54099, 2.22435 | 0.485248, 0.507327, 0.463169 | 2.85622, 3.2823, 2.43014 | 4.29659, 4.71433, 3.87884 | 0.754904, 0.902808, 0.607 | 0.25, 0.307585, 0.192415 | 1.91, 2.26948, 1.55052 | 8.9179, 9.79957, 8.03623 | 
| tanbeta = 10, m0 = 40 m12 = 220 | 0.166961, 0.179345, 0.154576 | 0.394438, 0.472321, 0.316555 | 1.47261, 1.5662, 1.37902 | 0.342226, 0.358512, 0.325941 | 1.66407, 1.91537, 1.41278 | 2.79, 3.06171, 2.51829 | 0.4292, 0.516609, 0.341791 | 0.1415, 0.176113, 0.106887 | 1.03, 1.23925, 0.820749 | 5.16183, 5.66433, 4.65934 | 
| tanbeta = 10, m0 = 40 m12 = 240 | 0.107277, 0.115306, 0.0992472 | 0.256517, 0.308314, 0.204719 | 0.9555, 1.01412, 0.896883 | 0.248188, 0.26018, 0.236197 | 0.997284, 1.14959, 0.844974 | 1.86104, 2.04366, 1.67841 | 0.2529, 0.307118, 0.198682 | 0.0828, 0.104223, 0.0613772 | 0.57, 0.694533, 0.445467 | 3.1, 3.41669, 2.78331 | 
| tanbeta = 10, m0 = 40 m12 = 260 | 0.0704078, 0.0757685, 0.0650472 | 0.170724, 0.206165, 0.135284 | 0.643609, 0.681789, 0.605429 | 0.183951, 0.193162, 0.17474 | 0.612857, 0.705615, 0.520099 | 1.27, 1.39501, 1.14499 | 0.1538, 0.188353, 0.119247 | 0.0498, 0.063399, 0.036201 | 0.326, 0.402221, 0.249779 | 1.91, 2.11691, 1.70309 | 
| tanbeta = 10, m0 = 40 m12 = 280 | 0.0469888, 0.0506031, 0.0433745 | 0.115809, 0.140335, 0.0912828 | 0.447028, 0.473035, 0.421021 | 0.139057, 0.146297, 0.131817 | 0.382891, 0.44064, 0.325142 | 0.876507, 0.966135, 0.78688 | 0.09514, 0.11759, 0.0726896 | 0.0306, 0.0393959, 0.0218041 | 0.191, 0.238686, 0.143314 | 1.2, 1.33688, 1.06312 | 
| tanbeta = 10, m0 = 60 m12 = 100 | 5.23502, 5.54382, 4.92621 | 11.209, 13.0274, 9.39064 | 216.141, 239.361, 192.921 | 3.58612, 3.70054, 3.47171 | 84.4968, 97.661, 71.3327 | 65.6052, 73.0873, 58.1231 | 20.0169, 23.6673, 16.3664 | 8.69, 10.1517, 7.22827 | 101.295, 115.252, 87.3391 | 275.368, 305.15, 245.586 | 
| tanbeta = 10, m0 = 60 m12 = 120 | 2.53181, 2.68919, 2.37443 | 5.57212, 6.52584, 4.61841 | 50.9054, 55.6006, 46.2102 | 1.93438, 2.00613, 1.86263 | 37.0719, 42.784, 31.3597 | 33.3002, 36.9037, 29.6968 | 9.94914, 11.7896, 8.10868 | 3.71, 4.37452, 3.04548 | 39.1494, 44.8009, 33.4978 | 120.739, 133.528, 107.95 | 
| tanbeta = 10, m0 = 60 m12 = 140 | 1.32669, 1.41289, 1.24049 | 2.97145, 3.50199, 2.4409 | 17.1938, 18.605, 15.7826 | 1.1837, 1.23227, 1.13514 | 17.4742, 20.0692, 14.8791 | 18.3231, 20.168, 16.4782 | 4.94838, 5.87763, 4.01912 | 1.711, 2.0398, 1.3822 | 16.5, 18.9143, 14.0857 | 57.4654, 63.2254, 51.7055 | 
| tanbeta = 10, m0 = 60 m12 = 160 | 0.740476, 0.790134, 0.690817 | 1.67864, 1.98983, 1.36744 | 7.80014, 8.38644, 7.21384 | 0.775704, 0.809137, 0.742272 | 9.05338, 10.4256, 7.68116 | 10.7853, 11.8469, 9.72364 | 2.52752, 3.00783, 2.0472 | 0.848, 1.02155, 0.674451 | 7.53, 8.72884, 6.33116 | 29.1956, 32.1013, 26.2899 | 
| tanbeta = 10, m0 = 60 m12 = 180 | 0.433329, 0.463076, 0.403581 | 0.992706, 1.18082, 0.804591 | 4.10795, 4.39357, 3.82233 | 0.53184, 0.556099, 0.507581 | 4.91964, 5.66332, 4.17596 | 6.63969, 7.29245, 5.98694 | 1.34264, 1.60062, 1.08466 | 0.445, 0.541766, 0.348234 | 3.69, 4.33036, 3.04964 | 15.6903, 17.235, 14.1455 | 
