 | Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg | 
 |(scale=1.0) m0=1000, m1/2=1000, tanbeta=10, A0=0, sign(mu)=+ve| 8.09663e-07 | 3.81645e-06 | 0.000250323 | 6.42913e-07 | 9.9e-08 | 2.05e-06 | 3.056e-07 | 1.632e-08 | 3.6e-08 | 7.61e-07 |
 |(scale=1.0) m0=1000, m1/2=100, tanbeta=10, A0=0, sign(mu)=+ve| 0.21726 | 0.0098412 | 77.2005 | 3.7097e-06 | 0.00582 | 0.0386 | 0.013346 | 0.001076 | 63.3 | 2.27 |
 |(scale=1.0) m0=1000, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 0.15122 | 0.0090324 | 28.4104 | 3.6767e-06 | 0.00542 | 0.0364 | 0.011645 | 0.000965 | 23.9 | 1.52 |
 |(scale=1.0) m0=1000, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 0.10619 | 0.008171 | 13.551 | 3.6377e-06 | 0.00496 | 0.0338 | 0.010006 | 0.00085 | 10.1 | 1.03 |
 |(scale=1.0) m0=1000, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.075754 | 0.0073099 | 7.32004 | 3.5949e-06 | 0.00446 | 0.0309 | 0.008432 | 0.000737 | 4.62 | 0.714 |
 |(scale=1.0) m0=1000, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.054367 | 0.0064865 | 4.28912 | 3.5452e-06 | 0.00394 | 0.0278 | 0.006605 | 0.0006301 | 2.26 | 0.498 |
 |(scale=1.0) m0=1000, m1/2=200, tanbeta=10, A0=0, sign(mu)=+ve| 0.039352 | 0.0056934 | 2.65282 | 3.49e-06 | 0.00343 | 0.0247 | 0.005657 | 0.0005319 | 1.16 | 0.35 |
 |(scale=1.0) m0=1000, m1/2=220, tanbeta=10, A0=0, sign(mu)=+ve| 0.028665 | 0.0049542 | 1.71635 | 3.4292e-06 | 0.00295 | 0.0216 | 0.004669 | 0.0004435 | 0.617 | 0.247 |
 |(scale=1.0) m0=1000, m1/2=240, tanbeta=10, A0=0, sign(mu)=+ve| 0.0209748 | 0.00428747 | 1.14893 | 3.363e-06 | 0.0025 | 0.0187 | 0.00375 | 0.0003671 | 0.342 | 0.176 |
 |(scale=1.0) m0=1000, m1/2=260, tanbeta=10, A0=0, sign(mu)=+ve| 0.0154094 | 0.00368926 | 0.789779 | 3.295e-06 | 0.0021 | 0.0161 | 0.00298 | 0.0002999 | 0.194 | 0.126 |
 |(scale=1.0) m0=1000, m1/2=280, tanbeta=10, A0=0, sign(mu)=+ve| 0.011395 | 0.0031465 | 0.555287 | 3.2229e-06 | 0.00174 | 0.0137 | 0.002379 | 0.0002438 | 0.113 | 0.0903 |
 |(scale=1.0) m0=1000, m1/2=300, tanbeta=10, A0=0, sign(mu)=+ve| 0.0084338 | 0.00267812 | 0.397437 | 3.1454e-06 | 0.00143 | 0.0115 | 0.001885 | 0.0001967 | 0.0674 | 0.0651 |
 |(scale=1.0) m0=1000, m1/2=320, tanbeta=10, A0=0, sign(mu)=+ve| 0.0062784 | 0.00226753 | 0.289191 | 3.0672e-06 | 0.00117 | 0.00967 | 0.001487 | 0.0001577 | 0.0408 | 0.047 |
 |(scale=1.0) m0=1000, m1/2=340, tanbeta=10, A0=0, sign(mu)=+ve| 0.0046852 | 0.00191363 | 0.214139 | 2.98304e-06 | 0.000948 | 0.00804 | 0.001165 | 0.0001256 | 0.025 | 0.0341 |
 |(scale=1.0) m0=1000, m1/2=360, tanbeta=10, A0=0, sign(mu)=+ve| 0.0035134 | 0.00160827 | 0.160292 | 2.90072e-06 | 0.000762 | 0.00665 | 0.0009149 | 0.0001 | 0.0156 | 0.0248 |
