 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=2.0) m0=1000, m1/2=100, tanbeta=40, A0=-500, sign(mu)=+ve| 0.19605 | 0.0078889 | 40.8263 | 8.2123e-06 | 0.00643 | 0.0322 | 0.01677 | 0.002763 | 52.6 | 1.88 |
 |(scale=2.0) m0=1000, m1/2=120, tanbeta=40, A0=-500, sign(mu)=+ve| 0.136781 | 0.0072108 | 18.3749 | 8.1866e-06 | 0.00589 | 0.0304 | 0.01492 | 0.002438 | 19.9 | 1.27 |
 |(scale=2.0) m0=1000, m1/2=140, tanbeta=40, A0=-500, sign(mu)=+ve| 0.096723 | 0.0065133 | 9.55677 | 8.1485e-06 | 0.0053 | 0.0283 | 0.01289 | 0.002114 | 8.41 | 0.865 |
 |(scale=2.0) m0=1000, m1/2=160, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0692 | 0.0058313 | 5.45211 | 8.0942e-06 | 0.0047 | 0.0259 | 0.01045 | 0.001801 | 3.86 | 0.598 |
 |(scale=2.0) m0=1000, m1/2=180, tanbeta=40, A0=-500, sign(mu)=+ve| 0.049806 | 0.0051535 | 3.30462 | 8.0524e-06 | 0.0041 | 0.0233 | 0.009032 | 0.001522 | 1.89 | 0.418 |
 |(scale=2.0) m0=1000, m1/2=200, tanbeta=40, A0=-500, sign(mu)=+ve| 0.036002 | 0.00452082 | 2.101 | 7.9894e-06 | 0.00353 | 0.0207 | 0.007549 | 0.001267 | 0.966 | 0.294 |
 |(scale=2.0) m0=1000, m1/2=20, tanbeta=40, A0=-500, sign(mu)=+ve| 0.9458 | 0.0097125 | 306.761 | 8.20001e-06 | 0.00767 | 0.0351 | 0.01798 | 0.003377 | 67200 | 14.4 |
 |(scale=2.0) m0=1000, m1/2=220, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0262778 | 0.0039361 | 1.38538 | 7.9319e-06 | 0.00301 | 0.0182 | 0.006021 | 0.001043 | 0.516 | 0.208 |
 |(scale=2.0) m0=1000, m1/2=240, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0192796 | 0.00340314 | 0.940627 | 7.8489e-06 | 0.00253 | 0.0158 | 0.004846 | 0.000852 | 0.286 | 0.149 |
 |(scale=2.0) m0=1000, m1/2=260, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0142167 | 0.00292052 | 0.655214 | 7.7825e-06 | 0.00211 | 0.0135 | 0.003871 | 0.00069 | 0.162 | 0.106 |
 |(scale=2.0) m0=1000, m1/2=280, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0104897 | 0.00249355 | 0.465945 | 7.6916e-06 | 0.00174 | 0.0115 | 0.003073 | 0.000557 | 0.0943 | 0.0765 |
 |(scale=2.0) m0=1000, m1/2=300, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0077722 | 0.00211775 | 0.336216 | 7.5941e-06 | 0.00142 | 0.00974 | 0.002418 | 0.000446 | 0.0563 | 0.0552 |
