 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=0.5) m0=1000, m1/2=100, tanbeta=50, A0=0, sign(mu)=+ve| 0.23467 | 0.012225 | 96.1487 | 1.77056e-05 | 0.0109 | 0.0448 | 0.01995 | 0.00741 | 76.1 | 2.67 |
 |(scale=0.5) m0=1000, m1/2=110, tanbeta=50, A0=0, sign(mu)=+ve| 0.19442 | 0.011736 | 50.8058 | 1.76441e-05 | 0.0104 | 0.0437 | 0.01867 | 0.00687 | 46.2 | 2.18 |
 |(scale=0.5) m0=1000, m1/2=120, tanbeta=50, A0=0, sign(mu)=+ve| 0.16188 | 0.011227 | 31.0447 | 1.75737e-05 | 0.00979 | 0.0423 | 0.0174 | 0.00635 | 29 | 1.79 |
 |(scale=0.5) m0=1000, m1/2=130, tanbeta=50, A0=0, sign(mu)=+ve| 0.1352 | 0.010709 | 20.5049 | 1.75334e-05 | 0.00921 | 0.0409 | 0.01606 | 0.00583 | 18.6 | 1.48 |
 |(scale=0.5) m0=1000, m1/2=140, tanbeta=50, A0=0, sign(mu)=+ve| 0.11356 | 0.0101969 | 14.1941 | 1.74891e-05 | 0.00864 | 0.0393 | 0.01484 | 0.00535 | 12.3 | 1.22 |
 |(scale=0.5) m0=1000, m1/2=150, tanbeta=50, A0=0, sign(mu)=+ve| 0.09544 | 0.0096802 | 10.1847 | 1.7447e-05 | 0.00808 | 0.0377 | 0.01364 | 0.00488 | 8.27 | 1.02 |
 |(scale=0.5) m0=1000, m1/2=160, tanbeta=50, A0=0, sign(mu)=+ve| 0.08078 | 0.0091702 | 7.51145 | 1.74138e-05 | 0.00753 | 0.0359 | 0.01246 | 0.00445 | 5.65 | 0.845 |
 |(scale=0.5) m0=1000, m1/2=170, tanbeta=50, A0=0, sign(mu)=+ve| 0.068318 | 0.008665 | 5.66242 | 1.73788e-05 | 0.007 | 0.0342 | 0.0114 | 0.00404 | 3.94 | 0.705 |
 |(scale=0.5) m0=1000, m1/2=180, tanbeta=50, A0=0, sign(mu)=+ve| 0.05797 | 0.0081528 | 4.34864 | 1.73457e-05 | 0.00649 | 0.0324 | 0.00944 | 0.00366 | 2.77 | 0.59 |
 |(scale=0.5) m0=1000, m1/2=190, tanbeta=50, A0=0, sign(mu)=+ve| 0.049269 | 0.0076538 | 3.38779 | 1.72997e-05 | 0.006 | 0.0306 | 0.00893 | 0.003304 | 1.98 | 0.495 |
