# Reweighting factors
# ptw_bin      , y_bin        , alpha+       , beta+        , gamma+       , alpha-       , beta-        , gamma-      
  0            , 0.0          , 4449.32626   , 3943.50168   , 3201.04957   , 3366.38419   , 3862.38281   , 2783.15818  
  0            , 0.5          , 5256.94873   , 4052.29611   , 2561.62454   , 3399.93515   , 4451.75285   , 2063.57824  
  0            , 1.0          , 6489.08896   , 3674.02069   , 2391.97806   , 2672.03915   , 4968.67000   , 1833.63032  
  0            , 1.5          , 7409.71923   , 3215.64042   , 2480.44785   , 2229.62486   , 5048.22760   , 1676.59665  
  0            , 2.0          , 8683.54772   , 2179.75166   , 2364.33722   , 1401.62354   , 4694.19308   , 1259.95124  
  0            , 2.5          , 8421.03276   , 1337.47699   , 2002.11101   , 773.92732    , 3847.69252   , 928.57627   
  0            , 3.0          , 6188.37527   , 273.57232    , 1063.30756   , 176.69531    , 1760.46316   , 483.57718   
  50           , 0.0          , 2396.76367   , 2032.29297   , 1238.36634   , 1641.43095   , 2015.33600   , 1012.25827  
  50           , 0.5          , 2496.30995   , 1872.62084   , 1427.06817   , 1459.44183   , 2065.70277   , 1104.20035  
  50           , 1.0          , 3007.85649   , 1640.80307   , 1420.35527   , 1147.08626   , 2085.12451   , 981.93711   
  50           , 1.5          , 3313.52695   , 1363.50751   , 1453.75962   , 882.90418    , 2010.05145   , 829.97120   
  50           , 2.0          , 3452.74269   , 858.65670    , 1136.25418   , 480.11598    , 1738.24734   , 487.31761   
  50           , 2.5          , 2916.34416   , 470.97417    , 735.55460    , 236.29740    , 1222.26909   , 282.02337   
  50           , 3.0          , 1243.14263   , 81.73772     , 165.09287    , 34.27681     , 346.65444    , 45.26184    
  100          , 0.0          , 2050.52708   , 1669.07997   , 476.33498    , 1207.03715   , 1642.72727   , 289.69612   
  100          , 0.5          , 2113.15336   , 1515.96320   , 654.47650    , 1048.73786   , 1632.91888   , 353.50114   
  100          , 1.0          , 2511.79526   , 1204.91433   , 648.27421    , 740.97066    , 1529.66103   , 354.71017   
  100          , 1.5          , 2578.74604   , 908.35474    , 636.34443    , 491.81665    , 1378.65389   , 297.36700   
  100          , 2.0          , 2108.27808   , 381.11775    , 349.69591    , 191.17892    , 866.35209    , 135.49684   
  100          , 2.5          , 1273.83456   , 126.88866    , 183.91269    , 59.67632     , 441.56297    , 51.32798    
  100          , 3.0          , 200.91784    , 10.64440     , 17.05810     , 0.76485      , 44.85812     , 4.49673     
  200          , 0.0          , 307.99418    , 212.71826    , 24.02102     , 111.84092    , 204.99539    , 29.03140    
  200          , 0.5          , 327.26247    , 181.79751    , 34.49241     , 106.45036    , 190.90359    , 19.25002    
  200          , 1.0          , 310.93751    , 107.54501    , 46.34079     , 57.61082     , 159.37887    , 18.81314    
  200          , 1.5          , 259.76378    , 64.52394     , 37.43810     , 31.50781     , 124.72902    , 2.90701     
  200          , 2.0          , 115.48460    , 16.59051     , 1.72317      , 6.94555      , 39.41731     , -7.40739    
  200          , 2.5          , 23.82101     , 1.50965      , 6.03217      , 1.10822      , 7.46293      , -0.24327    
  200          , 3.0          , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000     
  300          , 0.0          , 2197.97514   , 1449.23939   , 102.37942    , 725.69912    , 1206.07282   , 98.27675    
  300          , 0.5          , 2256.02026   , 1176.87870   , 139.43805    , 580.59179    , 1171.85032   , 72.58185    
  300          , 1.0          , 2059.96523   , 574.20814    , 95.07175     , 260.31969    , 822.77299    , 40.17430    
  300          , 1.5          , 1386.23994   , 233.54160    , 49.33351     , 108.60668    , 481.14927    , -2.09219    
  300          , 2.0          , 273.54432    , 20.64471     , 3.77386      , 8.24767      , 65.37175     , -3.01713    
  300          , 2.5          , 22.32367     , 1.56075      , -2.19713     , 0.00000      , 0.00000      , 0.00000     
  300          , 3.0          , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000     
  500          , 0.0          , 3011.17817   , 1777.10222   , 56.15904     , 578.86121    , 1202.16753   , 5.63684     
  500          , 0.5          , 2510.51224   , 985.15034    , 62.88258     , 302.49557    , 838.45464    , 41.46930    
  500          , 1.0          , 815.97507    , 110.81054    , 28.12433     , 34.87529     , 184.31165    , -2.00883    
  500          , 1.5          , 135.33178    , 5.91820      , -2.12997     , 2.32176      , 25.16708     , -3.72113    
  500          , 2.0          , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000     
  500          , 2.5          , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000     
  500          , 3.0          , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000      , 0.00000     
